playerID,Name,birthYear,birthMonth,birthDay
ausanjo01,Joe Ausanio,1965,12,9
ausmubr01,Brad Ausmus,1969,4,14
austde01,Dennis Aust,1940,11,25
austihe01,Henry Austin,1844,10,NA
austije01,Jeff Austin,1976,10,19
austiji01,Jimmy Austin,1879,12,8
austiji02,Jim Austin,1963,12,7
austiri01,Rick Austin,1946,10,27
austity01,Tyler Austin,1991,9,6
autryal01,Al Autry,1952,2,29
autrych01,Chick Autry,1885,1,2
autrych02,Martin Autry,1903,3,5
aveliab01,Abiatal Avelino,1995,2,14
avenbr01,Bruce Aven,1972,3,4
averiea01,Earl Averill,1902,5,21
averiea02,Earl Averill,1931,9,9
averyst01,Steve Avery,1970,4,14
averyxa01,Xavier Avery,1990,1,1
avilaal01,Alex Avila,1987,1,29
avilabo01,Bobby Avila,1924,4,2
avilalu01,Luis Avilan,1989,7,19
avilape01,Pedro Avila,1997,1,14
avilemi01,Mike Aviles,1981,3,13
avilera01,Ramon Aviles,1952,1,22
avreaja01,Jay Avrea,1920,7,6
axelrdy01,Dylan Axelrod,1985,7,30
axforjo01,John Axford,1983,4,1
ayalabe01,Benny Ayala,1951,2,7
ayalabo01,Bobby Ayala,1969,7,8
ayalalu01,Luis Ayala,1978,1,12
aybarer01,Erick Aybar,1984,1,14
aybarma01,Manny Aybar,1972,5,4
aybarwi01,Willy Aybar,1983,3,9
aydelja01,Jake Aydelott,1861,7,6
ayersbi01,Bill Ayers,1919,9,27
ayersdo01,Doc Ayers,1891,5,21
aylwadi01,Dick Aylward,1925,6,4
ayraubo01,Bob Ayrault,1966,4,27
ayraujo01,Joe Ayrault,1971,10,8
azcuejo01,Joe Azcue,1939,8,18
azocajo01,Jose Azocar,1996,5,11
azocaos01,Oscar Azocar,1965,2,21
babbch01,Charlie Babb,1873,2,20
babcobo01,Bob Babcock,1949,8,25
babelo01,Loren Babe,1928,1,11
babicjo01,Johnny Babich,1913,5,14
babinch01,Charlie Babington,1895,5,4
babitsh01,Shooty Babitt,1959,3,9
backebr01,Brandon Backe,1978,4,5
backmle01,Les Backman,1888,3,20
backmwa01,Wally Backman,1959,9,22
baconed01,Eddie Bacon,1895,4,8
bacsimi01,Mike Bacsik,1952,4,1
bacsimi02,Mike Bacsik,1977,11,11
bacusda01,Dakota Bacus,1991,4,2
baczefr01,Fred Baczewski,1926,5,15
baddoak01,Akil Baddoo,1998,8,16
